RegionName,State,Metro,CountyName,2010,2011,2012,2013,2014,2015,2016,2017,2018
Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1621,1665.6,1747,1837.7,1954.7,2032.6,2101.1,2023.3,2044.8
Hialeah,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1415,1455.6,1478.1,1529.9,1595.4,1644.8,1712,1692.9,1699
Boca Raton,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1904,1852.3,1803.8,1865.9,1998.9,2080.5,2167.5,2196.8,2185.7
Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1410.5,1533.3,1617.7,1658.3,1696.2,1788.8,1894.8,1867.3,1849.3
Boynton Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1469,1518.4,1519.8,1556,1653,1683,1705,1743.2,1749.1
Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1154,1272.9,1338.1,1380.9,1413,1487.2,1562.7,1575.3,1600.2
Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1322.5,1443.4,1511.3,1564.5,1598.8,1693,1766.6,1750.8,1740.3
Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1228.5,1329.8,1375.4,1422.8,1471.7,1543.3,1617.8,1633.1,1630
Coral Springs,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1203.5,1302.8,1345.7,1374,1387.8,1468.9,1556.1,1587,1586
Miami Gardens,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1323,1378.4,1400,1436.8,1527.7,1569.8,1661,1654.8,1670.3
Delray Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1494.5,1523.4,1526.2,1575.8,1699.9,1749.8,1805.7,1814.8,1793.7
West Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1359.5,1367.5,1383.3,1428.3,1503.1,1531.2,1549.9,1578,1574.2
Pompano Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1327.5,1424.1,1485.5,1514.2,1562,1614.8,1692.1,1685.6,1682.5
Davie,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1245,1342.5,1402.3,1463.1,1489.9,1564.5,1650.2,1658.8,1665.5
Plantation,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1246.5,1352.2,1417.1,1471.3,1497.5,1586.8,1672.8,1681.1,1706
Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1737,1883.9,2023.1,2148,2284.4,2389.6,2415.1,2317.8,2310.9
Sunrise,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1176,1248.9,1309.3,1337.7,1366.3,1427.1,1504.6,1547.2,1549.3
Homestead,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1100.5,1211.7,1255.2,1289.2,1318.1,1373,1455.8,1467.5,1483.7
Deerfield Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1274.5,1320.6,1375.8,1405,1468.1,1532.7,1595.2,1610.9,1614
Kendall,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1620.5,1694.9,1751.5,1844.9,1909.5,1979.2,1998.8,1994.4,2003.5
Lauderhill,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1079.5,1178.5,1237,1270,1285.5,1347.2,1423.5,1451.9,1461.5
Palm Beach Gardens,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1645.5,1608.2,1596.9,1665.6,1772.9,1853.7,1921.5,1905.2,1904.7
Jupiter,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1899.5,1847.9,1744.8,1784.3,1941.3,2107.1,2196.7,2190.4,2133.6
